topic, metric, value, alpha, gamma, eta, inference, dataset
4,coh,-346.084,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
4,itd,9.52632,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
5,pmi,51.883,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
5,coh,-269.142,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
5,itd,9.89474,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
6,pmi,74.5876,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
6,coh,-278.091,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
6,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
7,pmi,90.5682,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
7,coh,-291.049,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
7,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
8,pmi,110.495,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
8,coh,-315.317,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
8,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
9,pmi,51.5235,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
9,coh,-273.755,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
9,itd,9.73684,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
10,pmi,84.1007,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
10,coh,-257.572,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
10,itd,9.68421,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
11,pmi,55.0832,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
11,coh,-312.965,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
11,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
12,pmi,94.7595,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
12,coh,-293.603,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
12,itd,9.94737,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
13,pmi,71.1991,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
13,coh,-305.136,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
13,itd,9.73684,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
14,pmi,284.366,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
14,coh,-209.718,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
